日期,開盤價,最高價,最低價,收盤價,成交量(張),MA5,MA10,MA20,MA60,外資買賣超,投信買賣超,自營商買賣超,外資累積,投信累積,自營商累積
2026-05-14,675.0,687.0,667.0,679.0,5613,670.2,638.1,616.45,578.5636363636364,1517.0,-454.0,-139.0,-10137.0,5461.0,821.0
2026-05-13,648.0,672.0,648.0,663.0,7182,662.2,629.0,611.7,576.7037037037037,1357.0,-152.0,-39.0,-11654.0,5915.0,960.0
2026-05-12,686.0,693.0,672.0,673.0,6513,655.4,621.5,607.55,575.0754716981132,-695.0,492.0,-178.0,-13011.0,6067.0,999.0
2026-05-11,661.0,699.0,658.0,686.0,10283,638.8,613.0,602.8,573.1923076923077,2908.0,87.0,-29.0,-12316.0,5575.0,1177.0
2026-05-08,640.0,670.0,638.0,650.0,9024,619.8,602.9,597.4,570.9803921568628,3220.0,-997.0,48.0,-15224.0,5488.0,1206.0
2026-05-07,633.0,655.0,625.0,639.0,9859,606.0,597.7,593.3,569.4,-1232.0,1110.0,149.0,-18444.0,6485.0,1158.0
2026-05-06,598.0,634.0,596.0,629.0,8877,595.8,594.7,589.45,567.9795918367347,1598.0,831.0,251.0,-17212.0,5375.0,1009.0
2026-05-05,590.0,594.0,588.0,590.0,2560,587.6,591.7,585.5,566.7083333333334,-105.0,-434.0,-34.0,-18810.0,4544.0,758.0
2026-05-04,588.0,597.0,582.0,591.0,3911,587.2,593.2,583.75,566.2127659574468,-115.0,-193.0,-15.0,-18705.0,4978.0,792.0
2026-04-30,585.0,590.0,581.0,581.0,3075,586.0,594.0,582.55,565.6739130434783,-1388.0,31.0,-3.0,-18590.0,5171.0,807.0
2026-04-29,590.0,595.0,585.0,588.0,2431,589.4,594.8,580.95,565.3333333333334,-456.0,-335.0,4.0,-17202.0,5140.0,810.0
2026-04-28,589.0,591.0,583.0,588.0,2336,593.6,594.4,579.65,564.8181818181819,-805.0,-330.0,-101.0,-16746.0,5475.0,806.0
2026-04-27,587.0,596.0,585.0,588.0,3081,595.8,593.6,579.1,564.2790697674419,251.0,-143.0,-98.0,-15941.0,5805.0,907.0
2026-04-24,598.0,601.0,584.0,585.0,5502,599.2,592.6,578.4,563.7142857142857,-2344.0,86.0,-131.0,-16192.0,5948.0,1005.0
2026-04-23,613.0,619.0,591.0,598.0,5701,602.0,591.9,577.4,563.1951219512196,-1677.0,352.0,-36.0,-13848.0,5862.0,1136.0
