日期,開盤價,最高價,最低價,收盤價,成交量(張),MA5,MA10,MA20,MA60,外資買賣超,投信買賣超,自營商買賣超,外資累積,投信累積,自營商累積
2026-05-08,234.0,238.5,231.0,234.5,1561,230.9,228.8,227.45,225.84259259259258,780.0,-69.0,2.0,4651.0,314.0,-33.0
2026-05-07,232.0,234.0,230.5,231.0,621,229.3,227.8,227.15,225.67924528301887,112.0,-24.0,5.0,3871.0,383.0,-35.0
2026-05-06,228.0,232.0,227.5,232.0,490,228.3,227.3,227.025,225.57692307692307,166.0,61.0,4.0,3759.0,407.0,-40.0
2026-05-05,229.0,229.5,227.5,228.0,313,227.6,226.65,226.85,225.45098039215685,72.0,49.0,2.0,3593.0,346.0,-44.0
2026-05-04,228.0,229.0,226.0,229.0,290,227.8,226.45,226.825,225.4,-33.0,86.0,-0.0,3521.0,297.0,-46.0
2026-04-30,226.0,228.0,225.5,226.5,232,226.7,226.15,226.95,225.3265306122449,37.0,39.0,-2.0,3554.0,211.0,-46.0
2026-04-29,228.5,228.5,225.5,226.0,208,226.3,226.05,227.05,225.30208333333334,-82.0,46.0,1.0,3517.0,172.0,-44.0
2026-04-28,229.0,229.0,227.0,228.5,212,226.3,226.25,227.1,225.2872340425532,-11.0,44.0,0.0,3599.0,126.0,-45.0
2026-04-27,225.0,229.5,223.5,229.0,607,225.7,226.0,227.125,225.2173913043478,282.0,39.0,2.0,3610.0,82.0,-45.0
2026-04-24,225.0,225.0,223.5,223.5,209,225.1,225.7,227.325,225.13333333333333,-35.0,-7.0,-2.0,3328.0,43.0,-47.0
2026-04-23,226.5,227.0,222.5,224.5,744,225.6,226.1,228.0,225.17045454545453,-276.0,0.0,-18.0,3363.0,50.0,-45.0
2026-04-22,225.5,226.5,225.5,226.0,151,225.8,226.5,228.425,225.1860465116279,-23.0,-6.0,-1.0,3639.0,50.0,-27.0
2026-04-21,226.0,226.0,225.0,225.5,232,226.2,226.75,228.275,225.16666666666666,-66.0,0.0,-4.0,3662.0,56.0,-26.0
2026-04-20,226.0,227.0,225.5,226.0,226,226.3,227.05,228.3,225.15853658536585,-54.0,-2.0,0.0,3728.0,56.0,-22.0
2026-04-17,226.0,227.0,225.5,226.0,123,226.3,227.2,228.175,225.1375,-1.0,-2.0,-1.0,3782.0,58.0,-22.0
2026-04-16,228.0,228.0,225.0,225.5,341,226.6,227.75,228.125,225.1153846153846,-228.0,-2.0,2.0,3783.0,60.0,-21.0
2026-04-15,226.5,228.0,226.0,228.0,197,227.2,228.05,228.15,225.10526315789474,12.0,-1.0,-2.0,4011.0,62.0,-23.0
2026-04-14,226.5,226.5,225.0,226.0,299,227.3,227.95,228.025,225.02702702702703,-131.0,0.0,2.0,3999.0,63.0,-21.0
2026-04-13,226.0,227.5,225.0,226.0,351,227.8,228.25,228.125,225.0,-25.0,-104.0,-18.0,4130.0,63.0,-23.0
2026-04-10,228.5,230.5,227.0,227.5,436,228.1,228.95,228.325,224.97142857142856,-175.0,0.0,-1.0,4155.0,167.0,-5.0
2026-04-09,228.5,229.0,227.0,228.5,135,228.9,229.9,228.475,224.89705882352942,-51.0,0.0,-1.0,4330.0,167.0,-4.0
2026-04-08,228.5,229.5,228.0,228.5,241,228.9,230.35,228.5,224.78787878787878,-53.0,0.0,6.0,4381.0,167.0,-3.0
2026-04-07,227.5,230.0,227.5,228.5,170,228.6,229.8,228.3,224.671875,31.0,0.0,-3.0,4434.0,167.0,-9.0
2026-04-02,231.5,231.5,227.0,227.5,264,228.7,229.55,228.275,224.5483870967742,-46.0,0.0,-6.0,4403.0,167.0,-6.0
2026-04-01,229.5,231.5,229.5,231.5,412,229.8,229.15,227.85,224.45,86.0,0.0,4.0,4449.0,167.0,0.0
2026-03-31,227.0,229.0,226.0,228.5,312,230.9,228.5,227.05,224.20689655172413,95.0,0.0,-2.0,4363.0,167.0,-4.0
2026-03-30,227.5,228.0,226.5,227.0,235,231.8,228.25,226.575,224.05357142857142,-29.0,0.0,-3.0,4268.0,167.0,-2.0
2026-03-27,230.5,230.5,228.5,229.0,318,231.0,228.1,226.2,223.94444444444446,-26.0,0.0,-4.0,4297.0,167.0,1.0
2026-03-26,236.0,236.0,232.0,233.0,321,230.4,228.0,225.7,223.75,36.0,0.0,-5.0,4323.0,167.0,5.0
2026-03-25,234.5,237.0,232.0,237.0,1036,228.5,227.7,224.925,223.38,559.0,0.0,21.0,4287.0,167.0,10.0
2026-03-24,227.0,233.0,225.0,233.0,1576,226.1,227.05,224.0,222.8125,1178.0,0.0,16.0,3728.0,167.0,-11.0
2026-03-23,223.0,225.0,222.0,223.0,274,224.7,226.65,223.4,222.3695652173913,59.0,-1.0,-4.0,2550.0,167.0,-27.0
2026-03-20,223.0,226.0,223.0,226.0,164,225.2,226.8,223.025,222.3409090909091,46.0,0.0,-2.0,2491.0,168.0,-23.0
2026-03-19,225.0,225.0,222.5,223.5,356,225.6,227.0,222.5,222.16666666666666,-68.0,-5.0,-16.0,2445.0,168.0,-21.0
2026-03-18,226.5,227.0,225.0,225.0,290,226.9,226.55,222.1,222.1,-103.0,-1.0,9.0,2513.0,173.0,-5.0
2026-03-17,225.5,226.5,225.0,226.0,240,228.0,225.6,221.94736842105263,221.94736842105263,-70.0,-2.0,2.0,2616.0,174.0,-14.0
2026-03-16,228.5,228.5,225.5,225.5,289,228.6,224.9,221.72222222222223,221.72222222222223,-39.0,0.0,-12.0,2686.0,176.0,-16.0
2026-03-13,228.0,229.5,227.5,228.0,336,228.4,224.3,221.5,221.5,-11.0,-4.0,-5.0,2725.0,176.0,-4.0
2026-03-12,230.5,230.5,229.0,230.0,385,228.4,223.4,221.09375,221.09375,148.0,-8.0,3.0,2736.0,180.0,1.0
2026-03-11,230.0,231.0,228.5,230.5,746,226.2,222.15,220.5,220.5,131.0,97.0,14.0,2588.0,188.0,-2.0
2026-03-10,227.5,232.0,226.5,229.0,1094,223.2,220.95,219.78571428571428,219.78571428571428,625.0,-1.0,15.0,2457.0,91.0,-16.0
2026-03-09,226.0,226.5,224.0,224.5,779,221.2,220.15,219.07692307692307,219.07692307692307,152.0,-1.0,-11.0,1832.0,92.0,-31.0
2026-03-06,227.0,229.5,223.5,228.0,2223,220.2,219.25,218.625,218.625,938.0,133.0,-10.0,1680.0,93.0,-20.0
2026-03-05,217.5,222.0,217.0,219.0,419,218.4,218.0,217.77272727272728,217.77272727272728,80.0,-1.0,0.0,742.0,-40.0,-10.0
2026-03-04,218.0,218.5,214.5,215.5,550,218.1,217.65,217.65,217.65,-3.0,-5.0,-12.0,662.0,-39.0,-10.0
2026-03-03,219.5,220.0,219.0,219.0,280,218.7,217.88888888888889,217.88888888888889,217.88888888888889,53.0,-1.0,-2.0,665.0,-34.0,2.0
2026-03-02,218.5,221.5,216.0,219.5,516,219.1,217.75,217.75,217.75,170.0,-4.0,-2.0,612.0,-33.0,4.0
2026-02-26,219.5,221.5,219.0,219.0,466,218.3,217.5,217.5,217.5,31.0,-1.0,4.0,442.0,-29.0,6.0
2026-02-25,219.0,219.5,217.0,217.5,295,217.6,217.25,217.25,217.25,-80.0,-4.0,1.0,411.0,-28.0,2.0
2026-02-24,221.0,221.0,217.5,218.5,454,217.2,217.2,217.2,217.2,-239.0,-3.0,2.0,491.0,-24.0,1.0
2026-02-23,217.5,221.0,216.5,221.0,933,216.875,216.875,216.875,216.875,678.0,-3.0,-0.0,730.0,-21.0,-1.0
2026-02-11,217.0,217.0,215.5,215.5,190,215.5,215.5,215.5,215.5,15.0,0.0,-3.0,52.0,-18.0,-1.0
2026-02-10,217.0,217.0,215.5,215.5,187,215.5,215.5,215.5,215.5,16.0,-18.0,2.0,37.0,-18.0,2.0
2026-02-09,217.0,217.0,215.0,215.5,157,215.5,215.5,215.5,215.5,21.0,0.0,0.0,21.0,0.0,0.0
