日期,開盤價,最高價,最低價,收盤價,成交量(張),MA5,MA10,MA20,MA60,外資買賣超,投信買賣超,自營商買賣超,外資累積,投信累積,自營商累積
2026-05-08,121.0,123.5,117.5,119.0,5367,113.6,109.85,107.975,101.7462962962963,714.0,-7.0,35.0,4494.0,99.0,244.0
2026-05-07,111.0,119.0,110.5,117.0,3886,111.4,108.65,107.2,101.42075471698114,530.0,-14.0,86.0,3780.0,106.0,209.0
2026-05-06,111.0,112.5,109.5,110.5,1024,109.2,108.1,106.525,101.12115384615385,24.0,-1.0,7.0,3250.0,120.0,123.0
2026-05-05,111.0,112.0,109.5,110.5,888,108.1,108.1,105.9,100.93725490196078,114.0,29.0,-0.0,3226.0,121.0,116.0
2026-05-04,110.5,111.0,108.0,111.0,1302,107.2,107.75,105.21000000000001,100.74600000000001,86.0,30.0,-170.0,3112.0,92.0,116.0
2026-04-30,106.0,108.0,105.0,108.0,711,106.1,107.45,104.595,100.53673469387755,62.0,200.0,-22.0,3026.0,62.0,286.0
2026-04-29,105.0,107.0,105.0,106.0,525,105.9,107.3,104.01500000000001,100.38125000000001,134.0,0.0,-18.0,2964.0,-138.0,308.0
2026-04-28,105.5,105.5,103.5,105.0,729,107.0,107.0,103.69000000000001,100.26170212765958,-124.0,2.0,4.0,2830.0,-138.0,326.0
2026-04-27,105.5,106.0,103.5,106.0,712,108.1,106.8,103.51500000000001,100.15869565217392,-71.0,-4.0,-2.0,2954.0,-140.0,322.0
2026-04-24,108.5,108.5,104.0,105.5,1046,108.3,106.4,103.26500000000001,100.02888888888889,-176.0,-5.0,-62.0,3025.0,-136.0,324.0
2026-04-23,112.5,113.0,105.0,107.0,1819,108.8,106.1,103.06500000000001,99.90454545454546,23.0,-6.0,44.0,3201.0,-131.0,386.0
2026-04-22,111.5,113.0,110.0,111.5,1728,108.7,105.75,102.69500000000001,99.73953488372094,365.0,-4.0,-59.0,3178.0,-125.0,342.0
2026-04-21,109.0,111.0,109.0,110.5,1826,107.0,104.95,102.11999999999999,99.45952380952382,-132.0,-12.0,70.0,2813.0,-121.0,401.0
2026-04-20,109.5,110.5,107.0,107.0,1079,105.5,103.7,101.645,99.19024390243902,-55.0,-7.0,-35.0,2945.0,-109.0,331.0
2026-04-17,106.5,109.5,106.5,108.0,1379,104.5,102.67,101.36999999999999,98.995,284.0,-6.0,10.0,3000.0,-102.0,366.0
2026-04-16,104.5,107.5,104.0,106.5,1341,103.4,101.74000000000001,101.27,98.76410256410257,325.0,-4.0,126.0,2716.0,-96.0,356.0
2026-04-15,104.0,105.0,103.0,103.0,515,102.8,100.73,101.145,98.56052631578947,50.0,-8.0,19.0,2391.0,-92.0,230.0
2026-04-14,103.5,105.0,102.5,103.0,639,102.9,100.38000000000001,101.16999999999999,98.44054054054054,63.0,-4.0,3.0,2341.0,-84.0,211.0
2026-04-13,103.0,103.0,101.0,102.0,820,101.9,100.23,101.195,98.3138888888889,171.0,-215.0,2.0,2278.0,-80.0,208.0
2026-04-10,105.0,106.0,102.0,102.5,752,100.84,100.13000000000001,101.195,98.20857142857143,-35.0,-5.0,-33.0,2107.0,135.0,206.0
2026-04-09,106.0,106.0,103.5,103.5,1131,100.08,100.03,101.195,98.08235294117648,308.0,-3.0,-49.0,2142.0,140.0,239.0
2026-04-08,99.5,104.5,99.4,103.5,1102,98.66,99.64000000000001,101.095,97.91818181818182,328.0,2.0,14.0,1834.0,143.0,288.0
2026-04-07,96.7,98.2,96.7,98.0,301,97.86,99.29,100.595,97.74375,34.0,-1.0,0.0,1506.0,141.0,274.0
2026-04-02,99.0,99.0,96.3,96.7,480,98.56,99.59,100.41499999999999,97.73548387096774,-130.0,-1.0,8.0,1472.0,142.0,274.0
2026-04-01,98.7,99.0,98.2,98.7,240,99.42,100.07000000000001,100.19500000000001,97.77,57.0,0.0,19.0,1602.0,143.0,266.0
2026-03-31,99.6,99.7,96.3,96.4,706,99.98,100.8,99.69500000000001,97.73793103448276,-144.0,4.0,-2.0,1545.0,143.0,247.0
2026-03-30,99.4,100.5,99.3,99.5,395,100.61999999999999,101.56,99.51,97.78571428571429,-82.0,0.0,-2.0,1689.0,139.0,249.0
2026-03-27,99.6,101.5,99.6,101.5,274,100.72,101.96000000000001,99.21000000000001,97.72222222222223,-21.0,-2.0,5.0,1771.0,139.0,251.0
2026-03-26,102.0,102.5,100.5,101.0,347,100.61999999999999,102.16,98.83,97.57692307692308,19.0,-0.0,1.0,1792.0,141.0,246.0
2026-03-25,102.5,102.5,100.5,101.5,467,100.72,102.26,98.49,97.44,89.0,1.0,11.0,1773.0,141.0,245.0
2026-03-24,102.0,102.0,99.1,99.6,507,101.61999999999999,102.36,98.135,97.27083333333333,58.0,0.0,-2.0,1684.0,140.0,234.0
2026-03-23,98.5,101.5,98.5,100.0,597,102.5,102.55,97.935,97.16956521739131,137.0,1.0,5.0,1626.0,140.0,236.0
2026-03-20,103.0,104.0,101.0,101.0,1043,103.2,101.9,97.595,97.0409090909091,36.0,1.0,100.0,1489.0,139.0,231.0
2026-03-19,106.0,106.0,101.5,101.5,1604,103.7,101.24,97.175,96.85238095238095,414.0,-3.0,-2.0,1453.0,138.0,131.0
2026-03-18,106.0,107.0,105.0,106.0,1011,103.8,100.32,96.62,96.62,282.0,-4.0,9.0,1039.0,141.0,133.0
2026-03-17,104.5,105.5,104.0,104.0,1024,103.1,98.59,96.1263157894737,96.1263157894737,430.0,-3.0,3.0,757.0,145.0,124.0
2026-03-16,104.0,108.0,103.0,103.5,1614,102.6,97.46,95.6888888888889,95.6888888888889,-392.0,-1.0,106.0,327.0,148.0,121.0
2026-03-13,102.0,105.5,101.5,103.5,2175,100.6,96.46,95.22941176470589,95.22941176470589,-486.0,-0.0,-1.0,719.0,149.0,15.0
